sku,name,description,short_description,brand,sale_price,regular_price,stock,categories,tags,images
46901,"Perlas con Serum Giordani Gold - Edición Especial","Perlas bronceadoras infusionadas con serum antiedad. Edición limitada con ácido hialurónico para un acabado jugoso.","Perlas Bronceadoras Serum","Giordani Gold",16.93,35.00,50,"makeup","NOVEDAD, EDICION_LIMITADA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46901%2F46901_1.png"
46941,"Stick Iluminador con Color THE ONE","Iluminador en barra fácil de aplicar para un brillo radiante al instante. Formato práctico on-the-go.","Stick Iluminador","The ONE",7.69,22.00,80,"makeup","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46941%2F46941_1.png"
46913,"Maquillaje Stress-Free Everlasting Sync SPF 20 + Protección UVA Natural THE ONE","Base de maquillaje inteligente que se adapta a tu piel y al entorno. Resistente a la humedad y al sudor.","Base Inteligente SPF 20","The ONE",8.46,20.00,75,"makeup","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46913%2F46913_1.png"
42121,"Paleta de Ojos y Rostro Fabulous Beauty Giordani Gold","Paleta todo en uno de lujo para ojos y rostro. Pigmentación intensa y sedosa. Incluye sombras, colorete e iluminador.","Paleta Maquillaje Completa","Giordani Gold",19.24,42.00,40,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42121%2F42121_1.png"
42105,"Maquillaje Mineral de Larga Duración SPF 20 Giordani Gold","Base mineral de larga duración con cobertura completa y acabado luminoso. Cuida tu piel mientras maquilla.","Base Mineral Larga Duración","Giordani Gold",13.08,31.00,60,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42105%2F42105_1.png"
41108,"Corrector y Serum Potenciador Giordani Gold","Corrector que borra imperfecciones mientras trata la piel con su serum. Reduce ojeras y líneas de expresión.","Corrector con Serum","Giordani Gold",8.46,24.00,50,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41108%2FES%2F41108_1.png"
43245,"Maquillaje Eternal Glow SPF 25 Giordani Gold","Base fluida que aporta una luminosidad eterna y rejuvenece la piel. Acabado glow natural.","Base Efecto Glow","Giordani Gold",16.16,32.00,55,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F43245%2FES%2F43245_1.png"
44834,"Polvos Compactos con Serum Giordani Gold","Polvos compactos sedosos enriquecidos con serum para un acabado impecable. Matifican sin resecar.","Polvos Compactos","Giordani Gold",13.08,26.00,60,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44834%2F44834_1.png"
34647,"Polvos Compactos Everlasting THE ONE","Polvos de larga duración que matifican y fijan el maquillaje durante horas. Resistentes al sudor.","Polvos Fijadores","The ONE",9.23,19.00,70,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F34647%2F34647_1.png"
46934,"Polvos Bronceadores Giordani Gold Essenza","Bronceado natural y lujoso con el aroma icónico de Essenza. Textura sedosa y modulable.","Bronceador Lujo","Giordani Gold",18.47,39.00,45,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46934%2F46934_1.png"
46931,"Tinte Bronceador Giordani Gold Essenza","Tinte ligero que aporta un color bronceado saludable y natural. Ideal para un efecto 'sun-kissed' sin sol.","Tinte Bronceador Líquido","Giordani Gold",12.31,35.00,50,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46931%2F46931_1.png"
42236,"Maquillaje Antienvejecimiento Serum Boost SPF 12 + Protección UVA Giordani Gold","Base antiedad que mejora la firmeza y elasticidad de la piel con el uso continuado.","Base Anti-edad","Giordani Gold",23.87,35.00,60,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42236%2F42236_1.png"
46329,"Maquillaje Illuskin Glow Reflective THE ONE","Piel radiante y luminosa con tecnología reflectante de luz. Minimiza poros e imperfecciones visualmente.","Base Iluminadora","The ONE",15.40,15.40,70,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46329%2F46329_1.png"
42610,"Limpiadora Micelar Calmante Optimals","Limpia y calma la piel suavemente. Ideal para desmaquillar rostro, ojos y labios en un solo paso.","Agua Micelar","Optimals",8.46,19.00,90,"skincare","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42610%2F42610_1.png"
44547,"Prebase On Screen Finish Make-up Pro THE ONE","Prepara tu piel para un maquillaje duradero y perfecto en cámara. Efecto filtro instantáneo.","Primer Maquillaje","The ONE",6.54,19.00,65,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44547%2F44547_1.png"
36133,"Iluminador Líquido Illuskin The ONE","Gotas iluminadoras para resaltar tus facciones con un brillo sutil. Úsalo solo o mezclado con tu base.","Gotas Iluminadoras","The ONE",8.46,20.00,55,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F36133%2F36133_1.png"
32922,"Maquillaje Liquid Silk Giordani Gold","Textura sedosa ultraligera que perfecciona la tez con un acabado natural. Sensación de piel desnuda.","Base Fluida Seda","Giordani Gold",23.87,23.87,50,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F32922%2FES%2F32922_1.png"
42118,"Prebase y Serum Potenciador Giordani Gold","Prebase lujosa que hidrata, ilumina y prolonga la duración del maquillaje. Con ácido hialurónico.","Primer Serum","Giordani Gold",20.79,20.79,10,"makeup","ULTIMAS UNIDADES","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42118%2FES%2F42118_1.png"
35640,"Bálsamo BB Cream OnColour","BB Cream ligera que unifica el tono e hidrata la piel. Cobertura ligera para un look fresco.","BB Cream Ligera","OnColour",7.70,7.70,80,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F35640%2F35640_1.png"
42112,"Crema Correctora del Color SPF 30 + Protección UVA Giordani Gold","CC Cream que corrige el color, protege e hidrata. Cobertura media que disimula rojeces.","CC Cream Correctora","Giordani Gold",23.10,23.10,60,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42112%2F42112_1.png"
41989,"Corrector Everlasting Sync THE ONE","Corrector de alta cobertura que se sincroniza con las necesidades de tu piel. Resistente al agua.","Corrector Alta Cobertura","The ONE",12.32,12.32,70,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41989%2F41989_1.png"
21339,"Solución Micelar Diamond Cellular","Limpiadora 3 en 1 de lujo: limpia, tonifica y desmaquilla. Con polvo de diamante auténtico.","Limpiadora Diamante","Diamond Cellular",12.31,29.00,80,"skincare","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F21339%2FES%2F21339_1.png"
44915,"Perlas con Serum Giordani Gold","Las clásicas perlas bronceadoras ahora con serum hialurónico. Color, brillo y tratamiento en uno.","Perlas Hialurónico","Giordani Gold",26.95,26.95,60,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44915%2F44915_1.png"
42127,"Maquillaje Semi-Mate Everlasting Sync SPF 10 + Protección UVA THE ONE","Base semi-mate resistente a la transferencia y al sudor. Controla brillos durante todo el día.","Base Mate","The ONE",15.40,15.40,65,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42127%2F42127_1.png"
39292,"Crema Iluminadora Peach OnColour","Crema hidratante con tinte melocotón para un brillo saludable. Unifica ligeramente el tono.","Hidratante con Color","OnColour",8.47,8.47,75,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F39292%2F39292_1.png"
43416,"Polvos Sueltos Make-up Pro THE ONE","Polvos sueltos ultra-finos para fijar el maquillaje y controlar brillos. Acabado profesional invisible.","Polvos Traslúcidos","The ONE",13.09,13.09,55,"makeup","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F43416%2F43416_1.png"
41750,"Bálsamo BB Cream Matte SPF 10 OnColour","BB Cream efecto mate para pieles mixtas y grasas. Controla el exceso de sebo.","BB Cream Mate","OnColour",3.07,10.00,80,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41750%2F41750_1.png"
36141,"Stick Iluminador con Color THE ONE","Iluminador en barra práctico para un toque de luz rápido. Textura cremosa que se funde con la piel.","Iluminador Crema","The ONE",6.92,22.00,45,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F36141%2FES%2F36141_1.png"
40830,"Maquillaje Aquaboost Illuskin SPF 20 THE ONE","Base hidratante con agua de glaciar para una piel fresca y radiante. Ideal para pieles secas.","Base Hidratante","The ONE",6.92,23.00,60,"makeup","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F40830%2F40830_1.png"
47529,"Discos de Algodón Reutilizables","Discos desmaquillantes lavables y ecológicos. Pack de 10. Suaves con la piel y con el planeta.","Discos Ecológicos","Oriflame",7.70,7.70,100,"accessories","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47529%2F47529_1.png"
47520,"Rodillo Volcánico Matificante","Elimina el exceso de grasa al instante sin arruinar el maquillaje. Reutilizable y lavable.","Rodillo Antibrillos","Oriflame",10.01,10.01,40,"accessories","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47520%2F47520_1.png"
42483,"Pincel para Corrector THE ONE","Pincel de precisión para aplicar corrector y cubrir imperfecciones. Cerdas sintéticas suaves.","Brocha Corrector","The ONE",2.53,8.00,90,"accessories","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F42483%2F42483_1.png"
29696,"WellnessPack Mujer","Suplemento diario todo en 1 con multivitaminas, minerales, omega 3 y astaxantina. Salud integral para ella.","Vitaminas Mujer","Wellness by Oriflame",32.99,46.00,50,"wellness","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F29696%2F29696.png"
29697,"WellnessPack Hombre","Salud óptima para él en un cómodo sobre diario. Vitaminas, minerales y antioxidantes para energía y vitalidad.","Vitaminas Hombre","Wellness by Oriflame",32.99,46.00,45,"wellness","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F29697%2F29697_1.png"
38531,"Giordani Gold Essenza Blossom Parfum","Una joya de la perfumería. Aroma floral blanco con Camelia Celebratissima y Azahar. Lujo líquido.","Perfume Lujo","Giordani Gold",24.99,66.00,100,"perfume","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F38531%2F38531_1.png"
42503,"Limpiador en Gel NovAge Supreme","Limpieza inteligente que preserva la barrera cutánea. Limpia y tonifica en un solo paso sin resecar.","Limpiador Facial","NovAge",19.99,34.00,60,"skincare","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F33984%2F33984_1.png"
44961,"Acondicionador Rico Reparador Duologi","Acondicionador nutritivo que repara y protege el cabello dañado reduciendo la rotura. Con Proteína de Queratina.","Acondicionador Reparador","DUOLOGI",7.99,16.00,100,"hair","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44961%2F44961_1.png"
44960,"Acondicionador Ligero Voluminizador DUOLOGI","Acondicionador ligero que hidrata y desenreda cabellos finos sin apelmazar. Aporta volumen y movimiento.","Acondicionador Volumen","DUOLOGI",7.99,16.00,85,"hair","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44960%2F44960_1.png"
47440,"Gel de Ducha con Fresa Orgánica Simple Joys Love Nature","Edición Especial. Gel de ducha refrescante con delicioso aroma a fresa orgánica. Fórmula biodegradable.","Gel Ducha Fresa","Love Nature",2.99,10.00,80,"personal-care","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47440%2F47440_1.png"
46987,"Gel de Ducha con Mango Orgánico Simple Joys Love Nature","Gel de ducha con extracto de mango orgánico, suave y afrutado. Energizante y respetuoso con la piel.","Gel Ducha Mango","Love Nature",6.99,10.00,75,"personal-care","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46987%2F46987_1.png"
41338,"Crema de Manos Nutritiva con Aceite de Coco Orgánico","Nutrición intensa para manos secas con las propiedades del coco. Absorción rápida y aroma tropical.","Crema Manos Coco","Love Nature",2.99,11.00,50,"personal-care","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41338%2FES%2F41338_1.png"
36151,"Crema Universal con Aceite de Grosella Negra","El bálsamo clásico con un toque afrutado de grosella negra. Multiusos para labios y zonas secas.","Bálsamo Multiusos","Tender Care",3.99,14.00,100,"skincare","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F36151%2F36151_1.png"
38601,"Aceite Protección Capilar Eleo","Aceite lujoso con Argán y Rosas para proteger y nutrir el cabello. Acabado brillante y sin encrespamiento.","Aceite Capilar Lujo","Eleo",21.99,26.00,30,"hair","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F38601%2F38601_1.png"
46968,"Crema para Manos y Cuerpo Milk & Honey Gold","La legendaria crema nutritiva con extractos orgánicos de leche y miel. Piel suave y perfumada todo el día.","Crema Corporal Nutritiva","Milk & Honey Gold",19.00,24.00,80,"personal-care","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46968%2F46968_1.png"
46801,"Eau de Parfum Divine Dark Velvet","Una fragancia Chipre Floral Amaderada que deja una estela hipnótica y duradera. Misteriosa y elegante.","Perfume Noche Mujer","Divine",29.99,45.00,30,"perfume","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46801%2F46801_1.png"
38497,"Divine Eau de Parfum","Fragancia icónica con notas de Orquídea y Almizcle. Elegancia en estado puro para la mujer divina.","Perfume Icono","Divine",26.99,45.00,40,"perfume","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F38497%2FES%2F38497_1.png"
30468,"Be The Legend Eau de Toilette","Para el hombre seguro de sí mismo. Notas de cuero, manzana y haba tonka. Un aroma legendario.","Colonia Hombre","Be The Legend",24.99,38.00,35,"men","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F30468%2F30468_1.png"
46642,"Jabón Líquido Manos y Cuerpo Limón y Verbena Essense & Co","Elegante jabón líquido con aceites naturales de limón y verbena. Deja la piel fresca y revitalizada.","Jabón Manos Lujo","Essense&Co.",15.99,20.00,30,"personal-care","","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46642%2F46642_1.png"
41308,"Tratamiento Hot Oil para Cabello Seco con Trigo y Coco","Tratamiento intensivo de aceite caliente para nutrir el cabello seco. Restaura la hidratación y el brillo.","Aceite Caliente Pelo","Love Nature",2.49,6.00,100,"hair","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41308%2FES%2F41308_1.png"
47878,"Esponja de Baño Lather Lily","Esponja de baño que genera abundante espuma para una ducha placentera. Exfoliación suave diaria.","Esponja Baño","Love Nature",3.99,9.50,50,"personal-care","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47878%2F47878_1.png"
47677,"Cepillo Estilizador Glam On-the-Go","Cepillo alisador compacto para retocar tu peinado en cualquier lugar. Ideal para llevar en el bolso.","Cepillo Alisador","StylerPRO",64.99,80.00,15,"hair","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47677%2F47677_1.png"
